제목,장점,단점,경영진에게 하고싶은 말
고인물들의 세계가 깨지고 있다. 새로운 변화중,"높은 브랜드 인지도, 자유로운 휴가, 워라밸을 지지하는 문화 등","비전없음, 경영진 능력 부족, 뭘 해야할지 잘 모름, 이것저것 간만 봄",뭘 해야할지 모르겠으면 공부하세요. 비전있는 경영진이 필요합니다.
기업문화가 좋습니다. 되게 자유롭고 일에 몰두할 수 있었어요,재택 근무가 가장 큰 장점입니다. 1층에 카페도 저렴해서 좋았습니다.,재택근무가 아니라면 단점이 될 수도 있는 점이 꽤 많을것 같습니다,AI도 좋지만 다른 서비스도 신경써주세요
네임밸류 있고 나름 좋은 기업으로 기억함,회사나 제품이 네임밸류가 좀 있다보니 일하는데 있어서 자부심 비슷한게 있음,인력 관리가 잘 안되는 듯. 그래서 단기간 근무하고 이직하는 직원들이 많음,핵심 인력들의 장기근속을 위한 조치를 마련해주세요.
신입들은 들어와서 회사가 이런곳이구나 알고 가면 좋은 회사,그나마 재택근무 있어서 회사에 계속 다녔다. 이거마저 없어지면 남아서 다닐 사람은 누가 있을까?,"잘 되지도않고 다른 회사랑 차별점도 없는 AI 뜬구름만 보고 쫓아감, 수직적인",딱히 바라는건 없고 그냥 하던대로 하세요
자유롭고 자율적이네 실적이 필요하다.,재택근무 3일의 장점이 크다 아주 큰 장점 복지도 꽤나 좋다,자율이란 이름의 방치 혹은 압박 존재 개발자만 그럴수도..,"연구,개발보단 기획,마케팅이 우선되는 느낌입니다"
신입 개발자들에게는 좋음 복지도 그냥저냥 특별할건 없지만 있을건 있음,신입 초봉 높고 경력 쌓기 좋음 재택 있어서 좋음 휴가 자유롭게 사용 가능,인사발령 잦고 사무실 위치가. 영 애매함 체계가 부족하다는 생각,직원들이 실제로 원하는게 무엇인지를 파악해주시면 좋을것 같음
예술의전당 앞에 사옥 있음 구내식당 없음,젊은 IT 회사의 느낌을 내기 위해 노력하는 편임.,추구미에 비해 가지고 있는 제품이 다소 올드함.,화이팅 더 좋은 회사로 만드시길.
개발자들을 위한 회사지만 개발자 수준이 낮은 회사,워라밸 훌륭 예술의 전당 산책로 훌륭 사옥 보유 상장사,경영진 수준 미달 인사팀 많이 이상 개발자 능력치 낮음 사업 개발 역량 전무,이제 스톡옵션 욕심 버리시고 사업에 집중하시길
좋은사람 많으나 위로갈수록 썩은 회사,1층 카페와 괜찮은 사람들도 꽤 많다는 점? 실무진들은 괜찮은듯,인사팀이 단점인듯 발전이 안보임 할말은 많지만 참습니다,회사의 발전을 진심으로 원한다면 당장의 비용 줄이기에만 급급해하지 말고 조금 더 넓고 장기적인 시각으로 바라봐주시길
젊은 꼰대들이 나이 들어버린 오래된 벤처,간식이 있었어요.. 송년회나 워크샵 같은 것들을 잘 챙겼었죠..,"회장라인, 사장라인, 고인 사람들의 정치들.. 직무적으로 성장할 수 있는 기회 부재, 모바일에서 딱히 잘 되는 제품이 없음..",아직도 이해할 수 없는 일화가 너무 많은데.. 창립멤버 모두 여기가 첫회사이니 뭘 아시겠어요..
앞으로의 10년이 더욱 기대되는 회사,대기업 수준은 아니지만 점차 확대되는 복지제도와 가족친화적인 기업문화,"수평적인 ""님"" 호칭 문화로 인해 책임자가 명확하지 않아 업무 효율이 저하되고, 실질적인 의사 결정 구조가 모호한 경우가 많아짐. 직원들은 승진이나 보상에 대한 동기부여가 약화되는 경향이 있음. 직책자가 명확하게 지시하고, 또한 책임지는 문화가 필요함. 그러기 위해선 직급, 직책 호칭으로 서로에 대한 리스펙이 먼저 생겨야 할 것으로 보임.",대체적으로 경영진이 유한 성격임. 카리스마 있고 강압적인 리더십이 필요한 때.
가족같지만 약간 비전문적인 회사이었음,실수를 하더라도 잘 덮어주는 분위기. 실패에 대해서도 용인해줌,전문적인 느낌이 없고 고인물들이 많아서 회사 성장이 잘 안됨,외부 인력을 적절히 배치하여 조직에 긴장감도 주시고 성과에 대해 냉정히 판단하시길
사공이 많아 사업이 산으로 가는 중.,부서마다 다르겠지만 자유로운 분위기에서 업무할 수 있음,사내 정치질이 심하고 중간 개발자 대우를 안해주기 때문에 전부 나가서 중심이 되는 인력이 없음,직원들이 바라는건 이미 알고 있지 않을까 싶은데 듣고도 모른척하는듯
신사업 신기술을 경험하기 좋은 환경 자유로운 소통 문화,유연근무제 운영 기업 소통이 자유로운 조직문화 기업 안정성,재택근무자가 많아 서로의 얼굴을 모를 수 있음 역과의 거리,신사업에 대한 끊임없는 연구로 기업성장과 구성원 성장 모두를 챙겨주길 바랍니다
무난하면서도 아쉬워서 신입으로 와서 이직하기 좋음,신입으로 오면 적당히 이직 경력 쌓기 좋을것같다는 것 정도,회사가 이익을 내지못하고 있어서 보상이 약하고 단기목표에만 치중한다,직원들 보상은 약하고 경영진들만 주식 팔아 돈벌고 주가하락하는거 부끄럽게 생각하세요
인사부서에 심각한 문제로 근무자들 고통 받는곳,많은 경험을 해볼수있다 면접때와 다른 업무를 시키는 등 이것저것 다 시키기 때문,일은 시키겠지만 연봉인상은 꿈도 꾸지마시고 인사부서 문제가 심각해서 인사평가로 장난질 협박,왜직원들이 퇴사율이 높은지 남탓 그만하고 스스로를 돌아봐라 뭐 지금 이순간에도 직원들탓하고 있겠지만
부바부가 매우 심해서 많이 힘든 곳 아주 수직적인 곳,"장비지원금, 복지포인트, 사내카페 등 기본적인 복지를 제공해줌",그 외에 모든 것이 힘듦 능력이 있어도 의견 얘기할 분위기가 아닌 상사 등,좋은 능력을 가진 사람들의 말을 잘 들으시면 좋을것같아요
부서마다 분위기가 확 다르다 자유로운 분위기 부서 조용해서 숨죽이는 분위기 부서도있고,사내 커피숍이 아래층에 있고 저렴해서 동료들과 소통하는 장소로 좋아요,신사업 손실로인한 회사의 적자를 탈출시킬 방법을 모색했으면합니다,신규사업은 꼭 성공하시길 바랍니다 잠깐이었지만 회사에서 많은경험을했고 인품좋은 사람들과 함께해서 복이었습니다
"사회초년생에게'는' 좋은 회사입니다만, 경력에게는 물음표","대리, 과장급이 되면 퇴사하기 때문에, 신입이 경험하지 못할 업무를 할 수 있다 - 좋은 사람을 잘 채용하는 눈이 있는 듯하다 - 신사업의 기회가 많음 - 출산/육아 차별이 없고 워라밸이 좋음",사업을 키우고 굴리는 데 투자를 하지 않음 - 장점에도 기술한 내용이지만 일을 잘 하는 연차가 되면 퇴사함. 길을 잡아줄 좋은 선배가 부족함 - 개발자 출신의 경영진이 많아 비즈니스적인 관점이 부족,단순히 회사를 오래 다녔다는 이유로 상위 직급자가 되면 안된다고 생각함 - 전문 경영인이 필요하지 않을까
신입은 이것저것 경험하기 괜찮은 회사. 경력은 딜레마에 빠질 수 있는 회사,워라벨이 괜찮은 회사. 사람들이 친절하다. 사내 커피숍이 좋다.,"몇몇 임원들과 대표의 주관에 의해 흘러가는 회사, 열심히 논의한 결과가 탑다운으로 하루아침에 바뀐다.","인터넷에 기사가 자주나오는 회사보다, 직원이 일 할맛나는 회사가 되어 주세요."
"최악의 회사로 경영, 인사 부분에서 문제가 많다는 걸 모두가 알고있음","워라밸과 재택, 카페가 있다는 점은 장점이라고 할 수 있음",직원을 부품처럼 쓰다가 내치는 경우가 비일비재하고 특정부서에서 주변사람들을 폄하하는데 그러면 안 되는 부서에서 임직원을 폄하해서 내부적으로 말이 많음,우물안 개구리 같은데 직원들의 의견을 들을 필요가 있어보임
